"","Squad","Comp","Player","Nation","Pos","MP_Playing.Time","Min_Playing.Time","Mn_per_MP_Playing.Time","Min_percent_Playing.Time","Mins_Per_90_Playing.Time","Starts_Starts","Mn_per_Start_Starts","Compl_Starts","Subs_Subs","Mn_per_Sub_Subs","unSub_Subs","PPM_Team.Success","onG_Team.Success","onGA_Team.Success","plus_per__minus__Team.Success","plus_per__minus_90_Team.Success","On_minus_Off_Team.Success","onxG_Team.Success..xG.","onxGA_Team.Success..xG","xGplus_per__minus__Team.Success..xG","xGplus_per__minus_90_Team.Success..xG","On_minus_Off_Team.Success..xG"
"301","Augsburg","Bundesliga","Raphael Framberger","GER","DF,FW",3,5,50,6,6,11,59,18,12,28,77,3,9,16,38,2,5,2,9,36,2,7
"305","Augsburg","Bundesliga","Carlos Gruezo","ECU","MF",24,39,77,42,39,46,55,60,12,9,34,33,46,48,48,47,82,34,54,15,13,43
"306","Augsburg","Bundesliga","Robert Gumny","POL","DF",73,76,68,81,76,77,68,86,56,54,34,38,76,93,13,31,65,63,92,3,13,41
"307","Augsburg","Bundesliga","André Hahn","GER","FW,MF",10,15,45,16,15,19,68,43,32,48,20,76,22,16,59,59,85,13,20,32,12,42
"308","Augsburg","Bundesliga","Iago","BRA","DF,MF",49,62,75,66,62,66,59,73,32,79,20,34,69,79,38,45,88,55,76,12,25,81
"309","Augsburg","Bundesliga","Fredrik Jensen","FIN","FW,MF",44,37,30,40,38,33,51,28,85,67,52,43,41,48,38,37,69,34,48,21,21,65
"315","Augsburg","Bundesliga","Arne Maier","GER","MF",77,74,61,79,74,80,47,60,56,38,52,21,64,94,5,17,12,52,89,2,9,21
"318","Augsburg","Bundesliga","Florian Niederlechner","GER","FW,MF",26,37,61,39,37,39,59,48,41,79,34,32,46,42,59,59,90,38,42,37,39,90
"319","Augsburg","Bundesliga","Reece Oxford","ENG","DF",3,1,11,2,1,6,40,18,22,7,20,3,2,2,54,17,34,5,1,61,88,99
"320","Augsburg","Bundesliga","Mads Pedersen","DEN","DF,MF",70,70,63,75,70,68,72,75,69,54,34,24,69,87,17,33,69,56,87,5,15,49
"321","Augsburg","Bundesliga","Ricardo Pepi","USA","FW",4,2,5,2,2,6,4,18,32,13,20,14,2,8,42,1,1,1,2,48,4,19
"323","Augsburg","Bundesliga","Elvis Rexhbeçaj","GER","MF",81,91,91,95,91,93,72,86,12,98,20,29,82,96,11,35,90,71,98,1,15,41
"324","Augsburg","Bundesliga","Ruben Vargas","SUI","MF,FW",52,46,34,49,46,49,6,28,78,94,52,12,58,55,59,59,91,39,55,19,24,72
"325","Augsburg","Bundesliga","Renato Veiga","POR","DF",24,26,34,28,26,30,25,43,56,63,45,29,18,45,15,5,8,13,41,9,2,3
"327","Augsburg","Bundesliga","Kelvin Yeboah","ITA","FW,MF",24,14,8,15,14,15,3,18,78,38,45,45,12,5,63,68,92,11,12,50,42,87
"329","Auxerre","Ligue 1","Matthis Abline","FRA","FW",38,32,26,32,32,33,32,28,78,44,34,41,24,36,28,25,53,30,34,38,38,67
"330","Auxerre","Ligue 1","Mathias Autret","FRA","MF,FW",52,51,45,51,51,58,29,18,64,38,85,17,46,71,15,22,46,42,55,24,33,61
"331","Auxerre","Ligue 1","Dénys Bain","FRA","DF",1,3,58,3,3,6,100,28,12,93,91,6,9,8,54,24,52,4,2,58,67,91
"336","Auxerre","Ligue 1","Gaëtan Charbonnier","FRA","FW,MF",8,9,24,9,9,15,29,28,32,13,20,17,12,25,28,2,4,7,14,35,5,10
"337","Auxerre","Ligue 1","Alexandre Coeff","FRA","DF",10,24,96,23,24,26,100,56,12,98,70,19,22,39,22,10,22,21,29,29,18,31
"338","Auxerre","Ligue 1","Nuno da Costa","CPV","FW,MF",85,74,54,73,74,74,36,28,78,90,20,20,64,80,22,38,88,64,73,30,44,90
"343","Auxerre","Ligue 1","Siriki Dembélé","CIV","MF",19,12,10,12,12,19,6,18,64,13,52,60,9,5,59,59,87,9,14,37,14,26
"345","Auxerre","Ligue 1","Gauthier Hein","FRA","MF,FW",93,69,42,69,69,74,32,28,85,38,20,29,53,83,9,24,47,56,78,11,27,43
"346","Auxerre","Ligue 1","Julian Jeanvier","GUI","DF",49,68,89,67,68,68,76,84,22,96,70,23,53,86,7,19,34,56,79,10,24,36
"348","Auxerre","Ligue 1","Jubal","BRA","DF",98,100,99,100,100,99,100,100,22,91,34,24,82,99,5,28,98,87,99,5,29,60
"351","Auxerre","Ligue 1","Youssouf M'Changama","COM","MF",62,43,24,43,44,43,36,43,93,33,73,14,38,63,15,18,35,39,55,19,23,37
"352","Auxerre","Ligue 1","Han-Noah Massengo","FRA","MF",24,42,89,42,42,46,81,64,12,54,20,39,32,31,54,51,90,36,43,32,37,67
"354","Auxerre","Ligue 1","M'Baye Niang","SEN","FW",73,57,36,57,57,61,36,37,85,21,20,24,32,77,6,11,14,47,69,11,20,29
"355","Auxerre","Ligue 1","Théo Pellenard","FRA","DF",1,2,36,2,2,6,81,18,12,17,59,65,5,5,54,18,41,1,6,41,1,1
"357","Auxerre","Ligue 1","Gaëtan Perrin","FRA","MF,FW",98,53,18,52,53,52,8,18,99,54,20,23,46,63,22,31,66,46,64,16,25,40
"359","Auxerre","Ligue 1","Rayan Raveloson","MAD","DF,MF",90,85,71,85,85,84,89,93,64,7,45,29,60,88,8,27,67,71,94,6,24,26
"361","Auxerre","Ligue 1","Hamza Sakhi","MAR","MF",62,63,55,63,63,64,72,64,69,28,73,10,46,90,3,8,8,54,67,22,36,70
"362","Auxerre","Ligue 1","Lassine Sinayoko","MLI","MF,FW",85,60,33,59,60,58,40,43,95,48,59,12,43,77,9,19,35,51,68,16,28,51
"364","Auxerre","Ligue 1","Souleymane Touré","FRA","DF",38,59,95,58,59,61,89,80,12,13,20,31,43,52,33,42,86,56,63,33,43,82
"365","Auxerre","Ligue 1","Akim Zedadka","ALG","DF",41,61,93,60,61,64,85,81,12,3,34,29,53,63,33,42,87,51,67,17,30,56
"367","Barcelona","La Liga","Jordi Alba","ESP","DF",55,56,50,56,57,52,72,56,78,72,87,93,71,22,93,93,36,77,35,94,96,47
"368","Barcelona","La Liga","Marcos Alonso","ESP","DF",52,44,31,43,44,39,55,60,88,54,83,98,60,25,87,90,26,60,35,85,87,12
"369","Barcelona","La Liga","Ronald Araújo","URU","DF",49,69,93,69,69,71,81,84,12,63,45,98,90,13,99,99,92,93,37,99,99,96
"372","Barcelona","La Liga","Alejandro Balde","ESP","DF",90,89,79,89,90,93,63,92,32,6,59,98,94,42,98,93,21,98,69,99,95,21
"373","Barcelona","La Liga","Héctor Bellerín","ESP","DF",3,3,33,4,4,6,100,28,22,75,77,100,14,1,73,100,95,15,0,77,100,100
"374","Barcelona","La Liga","Sergio Busquets","ESP","MF",77,85,85,84,85,90,63,86,22,84,59,98,90,31,97,93,18,96,60,98,95,27
"376","Barcelona","La Liga","Andreas Christensen","DEN","DF",49,66,85,66,67,71,63,81,12,3,59,98,80,34,94,92,25,83,51,92,89,10
"377","Barcelona","La Liga","Ousmane Dembélé","FRA","FW",55,55,48,54,55,58,32,43,69,79,20,99,77,28,94,95,51,78,41,93,95,37
"379","Barcelona","La Liga","Ansu Fati","ESP","FW",96,54,20,53,54,46,25,28,100,54,34,98,84,10,97,99,94,77,34,94,97,60
"380","Barcelona","La Liga","Eric García","ESP","DF,MF",52,53,50,52,53,52,59,70,74,67,91,92,76,22,94,96,61,76,35,93,96,52
"382","Barcelona","La Liga","Gavi","ESP","MF,FW",96,90,71,89,90,93,51,77,50,84,20,98,95,28,99,96,73,97,58,99,97,55
"383","Barcelona","La Liga","Frenkie de Jong","NED","MF",85,89,81,88,89,90,72,89,41,82,34,98,97,50,99,95,49,98,63,100,98,80
"384","Barcelona","La Liga","Franck Kessié","CIV","MF",66,36,13,36,36,26,9,18,98,67,73,95,46,13,85,90,27,48,29,80,83,7
"385","Barcelona","La Liga","Jules Koundé","FRA","DF",70,85,95,84,85,87,85,95,12,6,45,99,95,28,99,97,79,97,57,99,97,66
"386","Barcelona","La Liga","Robert Lewandowski","POL","FW",90,96,96,95,96,96,81,97,12,91,20,96,98,50,99,96,60,100,68,100,98,97
"388","Barcelona","La Liga","Pedri","ESP","MF",62,75,81,74,75,74,72,75,41,94,20,99,93,25,99,98,89,96,48,99,99,93
"390","Barcelona","La Liga","Gerard Piqué","ESP","DF",8,15,60,15,15,19,94,43,22,21,73,100,30,2,82,99,80,33,8,84,100,95
"392","Barcelona","La Liga","Raphinha","BRA","FW",96,76,47,75,76,80,32,37,82,63,34,97,82,22,96,93,26,93,47,99,97,67
"394","Barcelona","La Liga","Sergi Roberto","ESP","DF,MF",49,49,44,49,49,52,29,48,69,75,70,95,64,22,90,92,31,64,28,90,93,29
"397","Barcelona","La Liga","Pablo Torre","ESP","FW,MF",10,3,1,3,3,6,9,18,56,9,98,29,9,5,59,59,5,7,5,56,58,3
"398","Barcelona","La Liga","Ferrán Torres","ESP","FW,MF",85,53,24,52,53,49,32,52,97,44,52,97,67,28,90,91,24,72,40,90,92,21
"400","Bayern Munich","Bundesliga","Daley Blind","NED","DF,MF",4,3,14,4,3,6,100,28,32,21,92,95,12,13,48,8,0,7,8,51,23,1
"401","Bayern Munich","Bundesliga","João Cancelo","POR","DF,FW",29,41,64,44,41,43,59,52,41,88,34,91,73,45,87,91,17,63,40,84,87,12
"402","Bayern Munich","Bundesliga","Kingsley Coman","FRA","FW,MF",55,56,50,59,56,58,25,37,69,92,52,93,91,31,98,99,89,84,34,96,99,84
"403","Bayern Munich","Bundesliga","Alphonso Davies","CAN","DF",62,77,87,81,77,80,68,86,22,94,20,86,98,68,98,97,38,96,67,97,95,28
"404","Bayern Munich","Bundesliga","Serge Gnabry","GER","FW,MF",93,73,47,79,74,74,36,67,85,72,20,92,98,57,99,98,76,96,59,99,98,80
"405","Bayern Munich","Bundesliga","Leon Goretzka","GER","MF",66,67,60,71,67,74,36,60,50,33,34,90,94,63,95,94,21,90,66,92,90,8
"406","Bayern Munich","Bundesliga","Ryan Gravenberch","NED","MF",55,23,5,25,23,15,6,18,98,38,77,94,50,28,80,91,23,41,19,82,96,45
"407","Bayern Munich","Bundesliga","Lucas Hernández","FRA","DF",10,19,66,20,19,26,40,37,12,75,45,100,55,8,91,100,98,45,9,89,100,99
"409","Bayern Munich","Bundesliga","Joshua Kimmich","GER","MF",90,96,97,99,96,96,85,98,12,98,20,91,100,87,100,97,40,100,87,100,96,14
"410","Bayern Munich","Bundesliga","Matthijs de Ligt","NED","DF",81,88,85,92,88,87,85,93,41,38,34,90,99,73,99,97,31,98,73,99,95,24
"411","Bayern Munich","Bundesliga","Sadio Mané","SEN","FW,MF",58,57,47,60,57,64,29,48,64,33,34,94,91,52,95,97,44,86,45,95,98,67
"413","Bayern Munich","Bundesliga","Eric Maxim Choupo-Moting","CMR","FW",41,45,50,48,45,52,36,48,50,24,34,93,87,36,95,99,84,73,37,91,97,59
"414","Bayern Munich","Bundesliga","Noussair Mazraoui","MAR","DF",41,43,47,47,43,43,63,52,69,59,73,97,86,50,93,97,52,73,43,90,95,39
"416","Bayern Munich","Bundesliga","Thomas Müller","GER","FW,MF",66,64,55,69,65,71,32,64,56,59,20,86,95,42,98,99,84,93,45,98,99,92
"417","Bayern Munich","Bundesliga","Jamal Musiala","GER","MF,FW",90,81,64,86,81,84,47,60,64,75,20,91,99,77,98,96,20,98,75,98,95,29
"420","Bayern Munich","Bundesliga","Benjamin Pavard","FRA","DF",77,88,91,93,88,87,89,96,32,59,52,96,100,77,100,98,86,99,75,100,98,88
"422","Bayern Munich","Bundesliga","Marcel Sabitzer","AUT","MF",29,25,24,27,26,30,17,37,69,44,52,96,62,8,93,100,97,48,8,91,100,97
"423","Bayern Munich","Bundesliga","Leroy Sané","GER","MF,FW",85,76,58,80,76,68,68,73,85,88,20,90,98,65,98,97,49,94,68,96,93,12
"427","Bayern Munich","Bundesliga","Josip Stanišić","CRO","DF",26,23,23,25,23,19,89,37,78,59,93,86,41,28,70,76,6,41,18,83,96,51
"428","Bayern Munich","Bundesliga","Mathys Tel","FRA","FW",49,16,2,17,16,6,7,18,98,28,80,90,48,22,82,98,61,34,12,81,99,74
"430","Bayern Munich","Bundesliga","Dayot Upamecano","FRA","DF",73,85,91,90,85,87,89,97,22,3,20,86,99,77,99,98,56,98,73,99,96,49
"434","Betis","La Liga","Abner","BRA","DF",24,24,31,24,24,30,36,43,56,21,73,33,24,28,42,35,19,29,28,52,50,37
"435","Betis","La Liga","Paul Akouokou","CIV","MF,DF",21,17,18,17,18,15,94,37,74,44,95,74,9,16,38,21,9,9,23,24,5,2
"439","Betis","La Liga","Sergio Canales","ESP","FW,MF",77,84,83,84,84,87,63,77,32,95,20,66,76,73,70,63,49,80,85,48,53,25
"440","Betis","La Liga","William Carvalho","POR","MF",85,86,77,85,86,93,47,80,22,54,20,76,80,63,85,73,89,88,80,82,70,93
"441","Betis","La Liga","Juan Cruz","ESP","FW",5,5,15,5,5,6,10,18,41,79,87,58,18,5,70,97,97,9,2,66,94,97
"443","Betis","La Liga","Nabil Fekir","FRA","MF",29,39,60,38,39,46,32,52,32,79,20,77,55,28,84,87,92,55,26,87,93,99
"444","Betis","La Liga","Luiz Felipe","ITA","DF",52,68,83,67,68,74,55,84,12,24,45,54,64,63,59,59,37,72,68,71,64,65
"446","Betis","La Liga","Édgar González","ESP","DF",55,65,70,65,65,61,92,84,64,75,83,78,71,52,82,75,80,71,67,69,63,62
"448","Betis","La Liga","Andrés Guardado","MEX","MF",58,54,42,53,54,58,40,56,74,33,80,74,62,63,54,53,34,56,58,46,50,31
"449","Betis","La Liga","Luiz Henrique","BRA","FW",90,69,44,69,69,71,19,43,85,87,34,59,41,68,13,28,4,57,77,14,29,3
"450","Betis","La Liga","Borja Iglesias","ESP","FW",93,83,64,83,83,90,40,52,56,82,20,73,84,63,87,76,93,87,77,83,71,94
"451","Betis","La Liga","Joaquín","ESP","MF,FW",46,17,3,17,17,6,17,18,98,38,85,42,30,8,78,94,96,34,14,80,97,99
"452","Betis","La Liga","Willian José","BRA","FW",70,30,7,29,30,26,43,37,99,13,70,70,27,31,42,38,22,30,32,43,42,24
"453","Betis","La Liga","Juanmi","ESP","FW",46,37,25,36,37,36,40,43,85,38,52,76,53,50,59,59,42,51,45,63,62,58
"455","Betis","La Liga","Juan Miranda","ESP","DF",44,55,68,54,55,55,81,70,50,54,93,70,55,48,66,63,52,61,55,67,63,62
"459","Betis","La Liga","Ayoze Pérez","ESP","FW,MF",38,52,75,51,52,58,59,52,22,48,20,68,50,45,63,61,46,57,52,65,62,59
"460","Betis","La Liga","Germán Pezzella","ARG","DF",77,88,91,87,88,90,72,92,22,99,45,66,79,73,76,66,62,86,87,60,58,41
"461","Betis","La Liga","Rodrigo","ESP","FW,MF",73,61,42,60,61,66,19,43,78,75,73,73,58,39,78,71,72,61,59,57,56,42
"462","Betis","La Liga","Guido Rodríguez","ARG","MF",90,96,96,96,96,96,85,97,12,98,34,69,86,80,78,66,70,91,92,63,58,38
"463","Betis","La Liga","Aitor Ruibal","ESP","DF,FW",58,56,45,55,56,55,72,64,78,28,83,55,46,34,70,66,57,56,57,50,52,35
"464","Betis","La Liga","Víctor Ruiz","ESP","DF",16,22,45,22,22,22,100,52,50,54,91,90,27,22,59,59,43,31,20,70,77,82
"465","Betis","La Liga","Youssouf Sabaly","SEN","DF",49,64,77,63,64,64,89,80,41,28,59,74,67,50,80,74,77,68,62,70,63,64
"468","Bochum","Bundesliga","Christopher Antwi-Adjei","GHA","FW,MF",73,75,66,80,75,74,63,70,64,82,45,44,79,91,22,39,98,74,91,13,31,97
"469","Bochum","Bundesliga","Takuma Asano","JPN","FW,MF",58,66,68,71,66,71,40,48,41,90,20,20,66,89,11,24,76,70,90,10,23,83
"473","Bochum","Bundesliga","Philipp Förster","GER","MF",58,52,39,56,52,55,29,37,78,59,70,36,64,75,33,40,92,51,63,24,33,92
"474","Bochum","Bundesliga","Cristian Gamboa","CRC","DF",41,58,85,62,58,61,68,64,22,96,52,15,46,88,4,8,17,50,86,3,5,13
"476","Bochum","Bundesliga","Jacek Góralski","POL","MF",4,4,18,4,4,11,7,18,22,17,34,1,2,13,33,1,1,2,12,30,0,1
"477","Bochum","Bundesliga","Dominique Heintz","GER","DF",19,32,73,35,32,33,59,43,32,99,83,55,32,52,19,15,46,31,54,13,6,25
"478","Bochum","Bundesliga","Philipp Hofmann","GER","FW",93,93,83,97,93,95,68,84,32,82,20,29,82,100,2,19,71,84,99,3,21,98
"479","Bochum","Bundesliga","Gerrit Holtmann","PHI","FW,MF",52,38,23,41,38,33,25,37,93,67,70,22,30,68,8,5,15,32,66,6,2,6
"480","Bochum","Bundesliga","Jannes Horn","GER","DF,FW",1,0,10,0,1,6,2,18,12,17,77,65,2,5,48,1,2,0,1,48,1,3
"481","Bochum","Bundesliga","Saidy Janko","GAM","DF",44,46,47,49,46,46,55,60,69,59,70,30,55,79,15,19,57,43,65,13,15,58
"483","Bochum","Bundesliga","Pierre Kunde","CMR","MF,FW",21,15,11,16,15,15,63,18,74,21,59,17,12,36,17,2,3,11,32,15,1,2
"484","Bochum","Bundesliga","Vassilis Lambropoulos","GRE","DF",29,25,24,27,26,30,76,56,69,2,91,37,14,39,17,6,23,20,33,23,11,45
"486","Bochum","Bundesliga","Erhan Mašović","SRB","DF,MF",73,81,79,86,81,77,94,92,56,59,34,29,76,96,8,26,91,75,97,4,17,72
"488","Bochum","Bundesliga","Tim Oermann","GER","DF",4,6,34,7,6,11,85,28,22,9,73,29,5,16,33,2,5,1,12,27,0,1
"489","Bochum","Bundesliga","Ivan Ordets","UKR","DF",77,89,93,93,89,90,89,96,22,2,45,41,88,99,6,25,95,83,100,1,14,58
"490","Bochum","Bundesliga","Jordi Osei-Tutu","ENG","DF,FW",44,30,18,33,30,33,19,28,85,28,73,12,22,55,11,4,12,23,38,21,13,54
"491","Bochum","Bundesliga","Patrick Osterhage","GER","MF",52,41,28,45,42,43,47,48,85,21,73,54,27,52,15,17,50,29,54,12,11,42
"493","Bochum","Bundesliga","Keven Schlotterbeck","GER","DF",24,30,45,32,30,33,63,60,50,33,52,39,27,50,17,10,33,28,33,35,32,85
"495","Bochum","Bundesliga","Kostas Stafylidis","GRE","DF,MF",41,42,44,46,42,43,40,52,69,79,52,44,38,63,15,17,52,37,64,8,7,25
"496","Bochum","Bundesliga","Kevin Stöger","AUT","MF",85,93,91,96,93,91,81,88,32,99,20,29,80,100,1,16,31,85,100,1,15,74
"498","Bochum","Bundesliga","Simon Zoller","GER","FW",66,58,42,61,58,66,29,48,69,10,45,24,50,90,4,7,16,48,83,4,7,21
"499","Bologna","Serie A","Michel Aebischer","SUI","FW,MF",81,58,31,57,58,61,25,48,91,28,70,60,58,65,38,44,25,44,55,28,39,30
"502","Bologna","Serie A","Marko Arnautović","AUT","FW",44,58,75,57,58,61,68,70,32,54,45,39,60,63,48,50,33,53,55,46,51,58
"505","Bologna","Serie A","Musa Barrow","GAM","FW,MF",81,72,54,72,72,81,32,67,56,17,45,67,67,79,33,45,18,57,79,12,28,7
"506","Bologna","Serie A","Kevin Bonifazi","ITA","DF",21,33,66,33,33,33,85,56,41,88,87,33,41,42,48,46,32,32,32,48,48,52
"507","Bologna","Serie A","Andrea Cambiaso","ITA","DF",81,78,64,78,78,80,63,84,64,38,45,52,71,71,63,60,46,71,73,52,54,72
"508","Bologna","Serie A","Lorenzo De Silvestri","ITA","DF",26,27,31,26,27,26,43,43,69,67,94,38,27,28,48,43,30,22,21,52,50,56
"509","Bologna","Serie A","Nicolás Domínguez","ARG","MF",81,84,77,83,84,84,68,77,50,91,34,57,82,80,70,63,58,78,81,50,54,74
"510","Bologna","Serie A","Lewis Ferguson","SCO","MF,FW",81,83,77,83,84,87,68,81,41,38,59,60,87,77,84,72,89,76,82,42,51,63
"511","Bologna","Serie A","Denso Kasius","NED","DF",10,13,34,13,13,19,22,28,32,54,64,38,12,19,38,14,7,11,17,36,13,8
"512","Bologna","Serie A","Giorgos Kyriakopoulos","GRE","DF,FW",21,29,50,28,29,33,51,48,41,44,20,69,35,22,70,73,72,21,30,28,23,14
"514","Bologna","Serie A","Charalambos Lykogiannis","GRE","DF",46,45,40,45,45,43,40,52,78,82,93,34,48,52,42,45,28,39,41,44,47,50
"516","Bologna","Serie A","Gary Medel","CHI","MF,DF",70,56,37,56,56,58,47,56,85,21,64,57,64,65,54,53,39,50,53,42,48,52
"517","Bologna","Serie A","Nikola Moro","CRO","MF",58,46,28,46,46,43,36,48,91,59,80,68,58,39,78,76,81,46,49,41,46,47
"519","Bologna","Serie A","Riccardo Orsolini","ITA","FW",81,78,64,77,78,71,76,75,78,84,45,67,76,79,59,59,41,71,77,41,50,58
"525","Bologna","Serie A","Nicola Sansone","ITA","FW",35,29,24,28,29,33,22,37,74,28,77,46,43,22,78,85,89,30,20,70,73,88
"526","Bologna","Serie A","Jerdy Schouten","NED","MF",90,90,81,90,91,91,76,86,41,24,34,49,84,88,48,53,23,80,88,32,48,50
"528","Bologna","Serie A","Roberto Soriano","ITA","FW,MF",66,53,34,52,53,55,24,43,85,59,45,69,58,36,80,77,82,44,48,43,49,53
"529","Bologna","Serie A","Joaquin Sosa","URU","DF",16,28,68,27,28,30,92,56,32,59,99,70,18,28,33,26,13,20,31,26,19,10
"530","Bologna","Serie A","Adama Soumaoro","FRA","DF",52,71,91,71,71,74,76,88,12,67,59,57,73,68,70,64,60,62,69,32,45,43
"532","Bologna","Serie A","Emanuel Vignato","ITA","MF,FW",12,9,10,9,9,11,3,18,56,59,73,9,9,10,48,24,14,10,9,55,49,53
"533","Bologna","Serie A","Joshua Zirkzee","NED","FW",38,33,28,33,33,22,89,48,88,79,83,35,46,28,76,79,82,41,32,69,70,85
"535","Bournemouth","Premier League","Jaidon Anthony","ENG","MF,FW",77,50,24,49,50,43,43,48,97,54,77,24,30,77,5,6,15,39,69,7,8,25
"537","Bournemouth","Premier League","Philip Billing","DEN","MF,FW",98,96,83,94,96,99,55,73,22,93,20,31,79,99,4,24,90,78,98,3,23,86
"538","Bournemouth","Premier League","David Brooks","WAL","FW,MF",8,5,9,5,5,11,4,18,41,24,64,1,2,10,38,2,7,2,11,32,1,2
"539","Bournemouth","Premier League","Ryan Christie","SCO","MF,FW",85,70,47,68,70,74,36,52,78,44,70,34,55,86,8,22,65,58,79,11,27,82
"540","Bournemouth","Premier League","Lewis Cook","ENG","MF",70,67,54,64,67,64,76,80,78,48,64,21,53,90,5,12,32,44,81,4,10,26
"544","Bournemouth","Premier League","Ryan Fredericks","ENG","DF",21,21,26,20,21,22,36,28,64,59,45,29,35,31,59,59,93,19,26,33,23,63
"547","Bournemouth","Premier League","Hamed Junior Traorè","CIV","FW,MF",10,17,54,16,17,22,40,28,22,72,20,29,12,22,33,14,42,19,25,34,17,53
"552","Bournemouth","Premier League","Chris Mepham","WAL","DF",62,81,97,79,81,80,100,95,22,63,73,29,64,98,1,11,15,57,94,1,9,14
"553","Bournemouth","Premier League","Kieffer Moore","WAL","FW",66,51,31,50,51,46,85,64,93,28,77,18,35,84,3,5,9,32,68,5,6,13
"555","Bournemouth","Premier League","Dango Ouattara","BFA","MF,FW",41,49,61,48,50,55,51,60,41,28,20,44,41,63,17,24,66,50,68,15,22,63
"556","Bournemouth","Premier League","Ben Pearson","ENG","MF",10,11,23,10,11,15,22,28,41,44,73,29,5,28,19,1,2,3,14,27,2,6
"560","Bournemouth","Premier League","Joe Rothwell","ENG","MF",44,41,37,39,41,46,25,43,69,44,73,34,48,42,63,62,97,43,46,43,45,93
"563","Bournemouth","Premier League","Antoine Semenyo","GHA","FW,MF",19,10,4,9,10,11,47,28,74,10,59,60,12,16,42,14,43,10,17,33,4,16
"564","Bournemouth","Premier League","Marcos Senesi","ARG","DF",81,90,89,87,90,91,81,93,22,10,64,21,73,99,2,16,36,75,97,3,20,64
"565","Bournemouth","Premier League","Adam Smith","ENG","DF",99,98,89,97,98,99,76,97,32,82,20,30,82,99,3,24,94,83,99,2,20,82
"566","Bournemouth","Premier League","Dominic Solanke","ENG","FW,MF",90,97,99,96,97,96,92,89,12,98,20,39,84,98,7,31,100,84,99,3,24,95
"567","Bournemouth","Premier League","Jack Stacey","ENG","DF",16,12,10,11,12,15,40,37,64,9,94,34,5,28,19,1,2,2,15,26,2,5
"569","Bournemouth","Premier League","Jack Stephens","ENG","DF",29,47,85,46,47,49,100,77,22,1,92,58,48,60,28,35,83,56,65,30,37,87
"570","Bournemouth","Premier League","Marcus Tavernier","ENG","MF,FW",52,67,81,65,67,66,72,70,41,95,20,57,67,88,13,27,80,55,81,8,19,59
"571","Bournemouth","Premier League","Mark Travers","IRL","GK",21,42,98,40,42,43,100,73,12,98,99,6,32,82,4,3,5,23,54,8,6,15
"572","Bournemouth","Premier League","Matías Viña","URU","DF",21,18,19,17,18,22,24,37,64,24,59,48,18,28,33,16,46,17,19,44,35,80
"574","Bournemouth","Premier League","Illia Zabarnyi","UKR","DF",5,12,52,11,12,15,100,43,22,21,70,8,2,13,33,6,21,4,12,34,7,27
"575","Bournemouth","Premier League","Jordan Zemura","ZIM","DF",41,58,83,56,58,61,72,75,22,59,64,23,43,80,7,14,38,40,71,7,12,32
"577","Brentford","Premier League","Shandon Baptiste","GRN","MF",52,25,8,24,25,19,19,18,97,33,64,54,38,16,78,88,84,28,18,68,73,65
"582","Brentford","Premier League","Mikkel Damsgaard","DEN","MF,FW",62,40,19,38,40,36,15,18,96,59,80,65,55,39,76,76,62,52,38,75,75,72
"583","Brentford","Premier League","Josh Dasilva","ENG","MF",98,55,20,53,55,52,19,18,99,44,45,62,73,48,86,83,84,65,46,82,78,83
"588","Brentford","Premier League","Aaron Hickey","SCO","DF",62,73,77,71,73,77,63,64,32,24,45,61,80,79,70,64,32,79,72,78,68,60
"589","Brentford","Premier League","Vitaly Janelt","GER","MF,DF",96,81,58,80,81,80,59,77,82,72,20,72,82,75,78,67,42,87,77,84,73,79
"590","Brentford","Premier League","Pontus Jansson","SWE","DF",21,29,52,28,29,36,55,60,32,2,52,53,50,39,70,73,55,30,34,38,37,11
"592","Brentford","Premier League","Mathias Jørgensen","DEN","DF",38,44,54,43,45,43,81,67,64,63,92,82,50,42,66,64,40,50,53,42,46,16
"593","Brentford","Premier League","Keane Lewis-Potter","ENG","FW,MF",16,12,12,12,12,15,8,18,64,44,80,65,32,10,78,98,98,21,9,73,92,95
"594","Brentford","Premier League","Bryan Mbeumo","CMR","FW",100,98,81,96,98,100,55,70,22,63,20,67,95,90,86,71,61,94,94,74,62,18
"596","Brentford","Premier League","Christian Nørgaard","DEN","MF",49,68,89,66,68,71,72,75,12,82,20,65,77,63,82,75,62,74,66,77,69,61
"598","Brentford","Premier League","Frank Onyeka","NGA","MF",46,35,22,34,35,33,13,18,88,67,70,76,38,31,63,63,37,36,40,37,38,11
"601","Brentford","Premier League","Mads Roerslev","DEN","DF",44,45,44,43,45,46,81,70,69,9,92,92,58,34,82,81,77,48,46,53,54,27
"602","Brentford","Premier League","Kevin Schade","GER","FW",38,30,23,29,30,30,40,28,82,38,45,76,35,19,73,77,63,44,17,85,96,98
"607","Brentford","Premier League","Yoane Wissa","COD","FW",100,62,24,60,62,58,40,28,99,38,20,67,76,48,88,84,87,72,57,83,76,81
"609","Brest","Ligue 1","Taïryk Arconte","FRA","FW",4,3,12,3,3,6,15,18,32,48,94,2,9,5,59,59,65,2,4,47,8,12
"610","Brest","Ligue 1","Youcef Belaïli","ALG","FW,MF",8,14,50,14,14,19,22,18,22,95,34,17,22,28,38,15,14,12,18,37,17,24
"611","Brest","Ligue 1","Haris Belkebla","ALG","MF",99,92,68,91,92,91,76,90,69,33,20,42,76,92,15,37,23,74,95,5,26,8
