"","Squad_1","Squad_2","Comp_1","Comp_2","Player","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty"
"143","Hamburger SV","Mainz 05","Bundesliga","Bundesliga","René Adler",-10,-9,-9,-9,-35,-49,-17,-9,27,0,-9,-23,-9,5,-48,-37,-32,-2,-20
"144","Málaga","Alavés","La Liga","La Liga","Roberto",-56,-57,-57,-57,-58,33,-56,-51,11,-17,-34,-66,-30,24,-25,-13,-32,0,-13
"145","Alavés","West Ham","La Liga","Premier League","Roberto",-2,-2,-3,-3,-3,1,-1,0,-11,-14,0,6,-17,-44,-31,-37,0,0,0
"146","West Ham","Valladolid","Premier League","La Liga","Roberto",9,10,11,11,0,-52,-2,-5,-7,9,50,-6,9,2,31,20,0,17,0
"147","Roma","Cagliari","Serie A","Serie A","Robin Olsen",-19,-18,-20,-20,-35,-14,-21,-15,41,-23,-24,-18,0,25,-19,0,0,-19,0
"148","Cagliari","Everton","Serie A","Premier League","Robin Olsen",-18,-18,-17,-17,-20,-12,-26,-31,-18,-31,-19,-12,-14,15,-45,-50,0,0,0
"149","Everton","Aston Villa","Premier League","Premier League","Robin Olsen",-6,-11,-8,-8,-1,58,-6,-8,-54,-5,-24,-6,-8,35,0,0,0,0,0
"150","Levante","La Coruña","La Liga","La Liga","Rubén",24,23,23,23,53,11,40,27,-4,6,32,35,7,-15,-14,0,0,-17,0
"151","La Coruña","Osasuna","La Liga","La Liga","Rubén",-16,-17,-18,-18,-59,-46,-45,-34,5,11,0,-57,0,21,0,17,-32,0,-29
"152","Wolves","Roma","Premier League","Serie A","Rui Patrício",-4.66666666666667,-4.66666666666667,-3,-4.66666666666667,-12.1666666666667,-12,-7.16666666666667,-5.66666666666667,13.1666666666667,9,-9,-9.66666666666667,15.6666666666667,28.6666666666667,-2.5,3.5,7.33333333333333,-5.66666666666667,3.16666666666667
"153","Granada","Betis","La Liga","La Liga","Rui Silva",-26,-27.5,-26.5,-27,-39.5,-31,-30.5,-22,25,-7,-26,-26,-7.5,16.5,-51.5,-33.5,-39,-8.5,-23
"154","Nantes","Lyon","Ligue 1","Ligue 1","Rémy Riou",-27,-28,-28,-28,-41,-33,-28,-24,61,-22,-18,-61,-31,-16,-19,-13,0,0,0
"155","Osasuna","Sevilla","La Liga","La Liga","Salvatore Sirigu",-31,-30,-33,-31,-81,-37,-43,-31,56,-20,-15,-63,-9,0,-45,-20,-32,-17,-29
"156","Sevilla","Torino","La Liga","Serie A","Salvatore Sirigu",76.75,76,77.75,76.25,76.75,-10.25,78.25,74.25,-0.25,59.75,71.5,61.75,65.75,45.75,68.75,54.5,29.75,4.25,18
"157","Torino","Genoa","Serie A","Serie A","Salvatore Sirigu",10.25,10,11.25,10.75,13.25,16.25,13.75,15.75,-12.75,-33.75,11.5,20.25,6.25,3.25,-12.75,-4.5,2.25,-4.25,-5
"158","West Brom","Crystal Palace","Premier League","Premier League","Sam Johnstone",-72,-71,-71,-71,-85,-65,-82,-81,27,0,-61,-83,-23,52,-64,-48,-32,-20,-3
"159","Villarreal","Valladolid","La Liga","La Liga","Sergio Asenjo",-26.5714285714286,-26,-26.4285714285714,-26.7142857142857,-12.5714285714286,56,-23.1428571428571,-28,-61.1428571428571,-35.7142857142857,-33.4285714285714,-5.14285714285715,-41.5714285714286,-50.5714285714286,-38,-26,-24.7142857142857,-4.85714285714286,-17.4285714285714
"160","Sevilla","Fulham","La Liga","Premier League","Sergio Rico",-10.3333333333333,-9.66666666666667,-10,-10.3333333333333,22.3333333333333,36.6666666666667,20,16.6666666666667,-10,-36.6666666666667,-28.6666666666667,37.3333333333333,-33,-48.3333333333333,6,25.3333333333333,-21.3333333333333,-11.3333333333333,-13.3333333333333
"161","Fulham","Mallorca","Premier League","La Liga","Sergio Rico",-29,-28,-28,-28,-47,6,-62,-66,-34,-10,-24,-35,-31,-17,0,-13,32,0,20
"162","Manchester Utd","Venezia","Premier League","Serie A","Sergio Romero",27,26,27,27,52,89,46,45,-25,11,24,55,7,-67,64,88,-32,0,-46
"163","Marseille","Rennes","Ligue 1","Ligue 1","Steve Mandanda",8.75,8.75,5.75,5.75,-11.5,-19.5,-0.75,3.5,19.75,7.25,-25.25,16.5,11.5,11.75,-19.5,-26.75,16,-4.25,22.75
"164","Chelsea","Real Madrid","Premier League","La Liga","Thibaut Courtois",-8.25,-8.25,-8.25,-8.5,-1.75,7.25,6,8.25,23,-4,10.25,-4.25,-10.25,-10.25,40,30.25,24,4.25,9.25
