"","Squad_1","Squad_2","Comp_1","Comp_2","Player","Mins_Per_90","CrdY","CrdR","X2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial"
"2062","Espanyol","Eibar","La Liga","La Liga","Papakouli Diop",53.25,38.25,3,1.5,47.75,49.25,15.75,32.5,39.75,56.75,0,0,0,59.25,64.25,68.75,-5
"2063","Lyon","Celta Vigo","Ligue 1","La Liga","Pape Cheikh Diop",5,17,11,6,22,26,0,0,12,20,0,0,0,15,12,0,21
"2064","Celta Vigo","Dijon","La Liga","Ligue 1","Pape Cheikh Diop",16,0,-11,-6,23,12,0,13,3,29,10,0,0,19,13,9,9
"2065","Marseille","Sevilla","Ligue 1","La Liga","Pape Gueye",-8,11.3333333333333,8.33333333333333,4,8,6,-0.333333333333329,22.6666666666667,-0.333333333333329,11,12,-4.66666666666667,0,-9,-8,-2.33333333333334,-17.3333333333333
"2066","Metz","Tottenham","Ligue 1","Premier League","Pape Matar Sarr",-53,-47.5,0,0,-55,-51,-18,-23.5,-40,-47,0,14,0,-61,-49.5,-35.5,-35.5
"2067","Atalanta","Sevilla","Serie A","La Liga","Papu Gómez",-28.1666666666667,4.75,0,0,-11.4166666666667,-13.0833333333333,-7,-13.3333333333333,-14.75,-6.41666666666666,0.333333333333329,1.16666666666667,0,-26.9166666666667,9.75,-0.25,11.75
"2068","Dijon","Guingamp","Ligue 1","Ligue 1","Papy Djilobodji",-77,-36,0,0,-53,-73,0,-18,-86,-69,0,-17,0,-83,-55,-51,-3
"2069","Freiburg","Stuttgart","Bundesliga","Bundesliga","Pascal Stenzel",-26.3333333333333,-31.8333333333333,-1.83333333333333,-1,-22.6666666666667,-28.5,0,-15.8333333333333,-28.3333333333333,-36.6666666666667,0,-3.83333333333333,0,-16,-27.5,-24.5,-10.5
"2070","Venezia","Salernitana","Serie A","Serie A","Pasquale Mazzocchi",9.5,-12,0,0,-0.5,15,29,10,-19,25,5,0,0,7,-1,4,-9
"2071","SPAL","Benevento","Serie A","Serie A","Pasquale Schiattarella",9,1,11,0,8.5,-0.5,0,-38,10.5,-9.5,0,0,0,13.5,-5,-10,17
"2072","Marseille","West Ham","Ligue 1","Premier League","Patrice Evra",-5,-32,0,0,-16,0,-15,-15,13,-3,0,0,0,0,-9,7,-32
"2073","Nice","Nîmes","Ligue 1","Ligue 1","Patrick Burner",2.66666666666666,-47.3333333333333,-3.66666666666667,-2,1.33333333333334,1,0,3.66666666666667,1,-18.6666666666667,0,-9.33333333333333,0,-2,9.33333333333334,9.33333333333334,-4.66666666666666
"2074","Milan","Fiorentina","Serie A","Serie A","Patrick Cutrone",-31,-29,0,0,-45,-33,-27,-20.5,-14.5,-17.5,0,0,0,-22,-18.5,-37,7
"2075","Fiorentina","Wolves","Serie A","Premier League","Patrick Cutrone",-14.5,-9,0,0,-17.5,-6.5,-5.5,-9,-4,-8,-5,0,0,-8.5,-13.5,-17,-5.5
"2076","Wolves","Valencia","Premier League","La Liga","Patrick Cutrone",-1.5,0,0,0,0.5,-15,-0.5,-7,1,-5.5,0,0,0,-5.5,-17,-3,-6
"2077","Valencia","Empoli","La Liga","Serie A","Patrick Cutrone",45,18,0,0,30,48,34,42,18,11,10,0,0,33,37,39,6
"2078","Nürnberg","Werder Bremen","Bundesliga","Bundesliga","Patrick Erras",-45,-18,0,0,-30,-16,0,0,-63,-39,0,-14,0,-39,-50,-39,-5
"2079","Arminia","Wolfsburg","Bundesliga","Bundesliga","Patrick Wimmer",-11,0,0,0,-4,-5,4,-6,-18,-6,2,-14,0,-25,-16,-15,-5
"2080","Roma","RB Leipzig","Serie A","Bundesliga","Patrik Schick",4,17,0,0,-15.5,0,6.5,6,-2.5,-10.5,-6,0,0,-16.5,10,2,21.5
"2081","RB Leipzig","Leverkusen","Bundesliga","Bundesliga","Patrik Schick",10,-26,0,0,-3.33333333333334,-1.66666666666667,-18,-16.6666666666667,1.33333333333333,-8.66666666666667,3.33333333333333,0,0,8,-4.66666666666667,3,-22.3333333333333
"2082","Espanyol","Betis","La Liga","La Liga","Pau López",9,0,0,0,6,0,0,0,6,0,0,0,0,20,0,-7,7
"2083","Betis","Roma","La Liga","Serie A","Pau López",-15.5,-22,0,0,-3,-14.5,0,0,-10,0,0,0,0,-14.5,-11,3.5,-3.5
"2084","Roma","Marseille","Serie A","Ligue 1","Pau López",10.5,27,0,0,2,13,0,0,-4,0,0,8.5,0,9.5,6,2,-2
"2085","Málaga","Caen","La Liga","Ligue 1","Paul Baysse",16,26,11,6,-9,14,0,18,14,-5,0,17,5,12,12,24,-4
"2086","Caen","Bordeaux","Ligue 1","Ligue 1","Paul Baysse",-25,-17.6666666666667,-3.66666666666667,-4,-17,-25,-27,-11.3333333333333,-30.6666666666667,-26,0,-7.66666666666667,-5,-18.3333333333333,-28.3333333333333,-36.3333333333333,9
"2087","Nîmes","Angers","Ligue 1","Ligue 1","Paul Bernardoni",-11.3333333333333,6,0,0,5.33333333333333,-5.5,0,0,3.33333333333333,2.66666666666667,0,10.3333333333333,0,-6.16666666666667,-7,-4.33333333333333,2.33333333333333
"2088","Angers","Saint-Étienne","Ligue 1","Ligue 1","Paul Bernardoni",-13.6666666666667,-6,0,0,-5.33333333333333,-5,0,0,-7.33333333333333,-5.66666666666667,0,-10.3333333333333,0,10.6666666666667,-12,2.33333333333333,-4.33333333333333
"2089","Wolfsburg","Union Berlin","Bundesliga","Bundesliga","Paul Jaeckel",43,57.5,5.5,3,46,31,0,-2,63,50.5,0,7,0,59.5,29.5,56.5,-44
"2090","Montpellier","Brest","Ligue 1","Ligue 1","Paul Lasne",-31.8333333333333,-38,3.66666666666667,0,-33.1666666666667,-30,-6.5,-29.6666666666667,-13.6666666666667,-27.6666666666667,-5,-2.33333333333333,0,-32.3333333333333,-23.5,-27,1.16666666666667
"2091","Manchester Utd","Juventus","Premier League","Serie A","Paul Pogba",-58.6,-51.8,-4.40000000000001,0,-72,-48.6,-27.4,-32,-51.8,-57.2,-6.8,-6.2,0,-72.2,-48.2,-48.8,12
"2092","Greuther Fürth","Union Berlin","Bundesliga","Bundesliga","Paul Seguin",-43,-20,0,0,-45,-55,0,-15,-28,-44,0,14,0,-44,-23,-30,3
"2093","Saint-Étienne","Wolfsburg","Ligue 1","Bundesliga","Paul-Georges Ntep",-13,0,11,6,2,-23,-9,-13,-11,-22,0,0,0,-10,-24,-10,-26
"2094","Barcelona","Leverkusen","La Liga","Bundesliga","Paulinho",-47.5,-23,0,0,-61.75,-54.25,-19.75,6.5,-37.25,-52.25,2.5,0,0,-48.75,-51.5,-52,-11
"2095","Juventus","Roma","Serie A","Serie A","Paulo Dybala",-8.8,26.6,0,0,-16.4,1,3.2,-0.200000000000003,-1.8,-18.8,5,0,0,-7.2,-1.6,6.4,-7.2
"2096","Tottenham","Elche","Premier League","La Liga","Paulo Gazzaniga",-2,35,0,0,-3,0.5,0,0,4,6,0,-7,0,0.5,-7,-3.5,4
"2097","Elche","Girona","La Liga","La Liga","Paulo Gazzaniga",51,0,0,0,0,21,0,0,0,-6,0,0,0,22,14,0,0
"2098","Chievo","Salernitana","Serie A","Serie A","Paweł Jaroszyński",-18.5,-6,0,0,-22.5,-15,0,-17.5,-22,-28.5,0,0,0,-14.5,-22,-8.5,-22.5
"2099","Chelsea","Fiorentina","Premier League","Serie A","Pedro",-45.6666666666667,-22.6666666666667,0,0,-35.6666666666667,-45.6666666666667,-14,-59.6666666666667,-46.3333333333333,-34.3333333333333,0,0,0,-52.6666666666667,-3.33333333333333,-13.6666666666667,-5
"2100","Fiorentina","Roma","Serie A","Serie A","Pedro",54,61,11,6,66,68,26,58,38,43,12,0,0,47,5,14,-4
"2101","Roma","Lazio","Serie A","Serie A","Pedro",10,-21.5,-11,-6,5,0,-3,-1,-9,16,-2,0,0,15,-8.5,-8.5,-2.5
"2102","Girona","Cádiz","La Liga","La Liga","Pedro Alcalá",-11,-32,0,0,-9.5,-11,-9,-20,-10,-25,0,0,5,-16,-20.5,4,-48
"2103","Las Palmas","Eibar","La Liga","La Liga","Pedro Bigas",12.3333333333333,-21.3333333333333,0,0,-1.33333333333334,8.66666666666666,-9,22.6666666666667,6,-6.66666666666666,0,10.3333333333333,0,7,32,39,-5.66666666666667
"2104","Eibar","Elche","La Liga","La Liga","Pedro Bigas",14.1666666666667,37.3333333333333,6,0,12.8333333333333,11.8333333333333,-9,-3.66666666666666,6,21.1666666666667,5,-3.33333333333333,0,14,2.5,-18.5,12.6666666666667
"2105","Levante","Huesca","La Liga","La Liga","Pedro López Muñoz",1.5,-4,0,0,3,-8,14.5,11,1.5,10.5,0,0,0,-2.5,23.5,-4.5,42.5
"2106","La Coruña","Huesca","La Liga","La Liga","Pedro Mosquera",19,-52,0,0,-9,19,0,-7,9,-19,0,-14,0,6,2,5,-3
"2107","Lazio","Wolves","Serie A","Premier League","Pedro Neto",43,22,0,0,25.75,43,29.75,55,38.25,25.5,2.5,0,0,42.5,25.75,37.25,12
"2108","West Ham","Sassuolo","Premier League","Serie A","Pedro Obiang",-0.333333333333336,31.6666666666667,3.66666666666667,0,9.16666666666667,-2.83333333333334,-7.5,-17,-2,-7,0,5.66666666666667,1.66666666666667,-12,7,-1.16666666666666,14.1666666666667
"2109","Genoa","Crotone","Serie A","Serie A","Pedro Pereira",48,41,0,0,41,35.5,40,15.5,20,43.5,0,14,0,41,29.5,44,-13.5
"2110","Girona","Valladolid","La Liga","La Liga","Pedro Porro",-44,-36,0,0,-48,-36,0,-20,-46,-38,0,0,0,-52,-32,-47,6
"2111","Valladolid","Tottenham","La Liga","Premier League","Pedro Porro",13,-18,0,0,21,10,18,15,18,15,0,0,0,22,-17,4,-25
"2112","Napoli","Milan","Serie A","Serie A","Pepe Reina",-85.5,-18,5.5,0,-3,-16,0,0,0,0,0,7,0,-38,-14.5,0,0
"2113","Milan","Aston Villa","Serie A","Premier League","Pepe Reina",30.5,18,-5.5,0,3,20,0,0,0,0,0,-7,0,10,14.5,0,0
"2114","Aston Villa","Lazio","Premier League","Serie A","Pepe Reina",25.5,13,0,0,-3,-14,0,0,4,0,0,7,0,3,-1.5,0,0
"2115","Lazio","Villarreal","Serie A","La Liga","Pepe Reina",0.5,1,0,0,-3,0,0,0,4,0,0,-7,0,7,-5.5,0,0
"2116","Parma","Monza","Serie A","Serie A","Pepín",38,54,0,0,48,44,0,24,27,47,0,0,0,43,28,17,41
"2117","Eibar","Elche","La Liga","La Liga","Pere Milla",46.6666666666667,63.3333333333333,0,0,35.6666666666667,63.6666666666667,18.3333333333333,-5.33333333333334,22.6666666666667,30,3.33333333333333,9.33333333333333,0,42.3333333333333,41,37,20.3333333333333
"2118","Girona","Alavés","La Liga","La Liga","Pere Pons",-40,-31.6666666666667,0,0,-32.1666666666667,-29.1666666666667,15,2.5,-38,-35.6666666666667,3.33333333333333,-14,0,-37.5,-21.6666666666667,-28.1666666666667,4
"2119","Osasuna","Villarreal","La Liga","La Liga","Pervis Estupiñán",-42,-41,0,0,-21,-32,8,-9,-15,-24.5,5,14,0,-28.5,-27.5,-38.5,5
"2120","Villarreal","Brighton","La Liga","Premier League","Pervis Estupiñán",35,23,0,0,21,20,3,5,7,16.5,5,0,0,23.5,23.5,23.5,11
"2121","Stoke City","Burnley","Premier League","Premier League","Peter Crouch",-51,-36,0,0,-71,-41,-50,-18,-8,6,0,0,0,-31,-39,-64,2
"2122","Everton","Sheffield Utd","Premier League","Premier League","Phil Jagielka",-25,-7,0,0,-2,-20.5,0,-4,-14.5,-25,0,0,2.5,-20,-19.5,-35.5,14.5
"2123","Huddersfield","Bournemouth","Premier League","Premier League","Philip Billing",32.5,9.5,0,0,16,22,7.5,-1.5,9.5,13.5,0,-14,0,12.5,10.5,31.5,-14.5
"2124","Stuttgart","Bochum","Bundesliga","Bundesliga","Philipp Förster",2.5,0,0,0,16,-3.5,-32,31.5,-5.5,13,10,0,0,8,0.5,-7.5,6.5
"2125","Augsburg","Eint Frankfurt","Bundesliga","Bundesliga","Philipp Max",-58.6666666666667,-28.6666666666667,0,0,-28.3333333333333,-46,-11.3333333333333,-12.3333333333333,-47.6666666666667,-40.3333333333333,0,0,0,-54.6666666666667,-38.3333333333333,-51,10.6666666666667
"2126","Liverpool","Barcelona","Premier League","La Liga","Philippe Coutinho",-1,17,0,0,17.25,0.75,-3.25,-10.25,-12.5,-15.75,5,0,0,-8.5,12,5.25,16.75
"2127","Barcelona","Bayern Munich","La Liga","Bundesliga","Philippe Coutinho",10,-17,0,0,-17.25,2.25,-0.75,4.25,1.5,18.75,5,0,0,10.5,2,4.75,-7.75
"2128","Bayern Munich","Aston Villa","Bundesliga","Premier League","Philippe Coutinho",-11,22,0,0,18,-11,-1,-14.5,-1.5,-5,-10,0,0,-10,-0.5,9,-5.5
"2129","Southampton","Tottenham","Premier League","Premier League","Pierre Højbjerg",17.6666666666667,-6.66666666666666,-4,-2,-2,3.33333333333334,-6,-10,1,0,0,0,0,2,-8,-21,6
"2130","Mainz 05","Bochum","Bundesliga","Bundesliga","Pierre Kunde",-32.3333333333333,-48.3333333333333,0,0,-40.6666666666667,-10.3333333333333,6,-21.6666666666667,-24.6666666666667,-24.3333333333333,0,-4.66666666666667,0,-32.6666666666667,-23,-20,-11.6666666666667
"2131","Nice","Norwich City","Ligue 1","Premier League","Pierre Lees-Melou",-3.5,3,-8.25,0,-4.5,-10,2.25,-4.5,-8.25,-0.5,7.5,0,-1.25,4.5,0,-11,12
"2132","Norwich City","Brest","Premier League","Ligue 1","Pierre Lees-Melou",10,13,11,0,5,19,-9,4,18,6,-10,14,0,7,7,-12,31
"2133","Dortmund","Arsenal","Bundesliga","Premier League","Pierre-Emerick Aubameyang",16.2,6,-8.8,-6,-15.6,17.2,0,5.40000000000001,7.8,15.4,-8,0,1,25,-0.400000000000006,9.59999999999999,-14.6
"2134","Arsenal","Barcelona","Premier League","La Liga","Pierre-Emerick Aubameyang",-26.2,-24,-2.2,0,-10.4,-20.2,-6,-30.4,-12.8,-27.4,-2,0,-1,-25,-32.6,-40.6,-0.399999999999999
"2135","Barcelona","Chelsea","La Liga","Premier League","Pierre-Emerick Aubameyang",-17,18,0,0,-5,-24,-44,-7,0,-11,0,0,0,-5,-14,-5,-16
"2136","Lorient","Clermont Foot","Ligue 1","Ligue 1","Pierre-Yves Hamel",6.5,-7.5,0,0,7,16.5,10.5,4,-27,9.5,0,0,0,1,20,26,-14.5
"2137","Genoa","Monaco","Serie A","Ligue 1","Pietro Pellegri",-8.66666666666667,-15.3333333333333,3.66666666666667,0,-18.6666666666667,0.333333333333332,-23.6666666666667,-7,-14,4,3.33333333333333,0,0,-3.66666666666667,-9,-2,-13
"2138","Monaco","Milan","Ligue 1","Serie A","Pietro Pellegri",1.66666666666667,-16.6666666666667,-3.66666666666667,0,7.66666666666667,-9.33333333333333,13.6666666666667,0,0,7,-3.33333333333333,0,0,0.666666666666667,2,-22,80
"2139","Milan","Torino","Serie A","Serie A","Pietro Pellegri",9,31,0,0,13,27,13.5,9,0,-2.5,0,0,0,4.5,21.5,52.5,-73
"2140","Sassuolo","Fiorentina","Serie A","Serie A","Pol Lirola",-27,17,0,0,-4,-22,-17,-14,-23.5,-16.5,0,7,-2.5,-23.5,-22,-23.5,-2
"2141","Fiorentina","Marseille","Serie A","Ligue 1","Pol Lirola",5,-18,0,0,6,27,5.5,8,8,6.5,0,-7,0,7.5,23,-3,42
"2142","Marseille","Elche","Ligue 1","La Liga","Pol Lirola",-32.5,-13,0,0,-21.5,-34,-23.5,-13,-23.5,-28,0,0,0,-24.5,-22,-7,-14
"2143","Girona","Real Sociedad","La Liga","La Liga","Portu",-20.6666666666667,6.33333333333333,0,0,-8.83333333333333,-18.5,0.5,-3.33333333333333,-1.83333333333334,-26,-1.66666666666667,0,0,-17.5,-4.66666666666666,-13.1666666666667,8.83333333333333
"2144","Real Sociedad","Getafe","La Liga","La Liga","Portu",-7.33333333333333,14.6666666666667,11,6,-3.66666666666667,1,-4,6.33333333333333,16.3333333333333,21,-3.33333333333333,0,0,6,4.66666666666666,-5.33333333333333,10.6666666666667
"2145","Reims","Mallorca","Ligue 1","La Liga","Predrag Rajković",4,12.6666666666667,0,0,4,-21.6666666666667,0,0,-10,-7.66666666666667,0,9.33333333333333,0,-9.33333333333334,-10,3.33333333333333,-4.66666666666667
"2146","Angers","Caen","Ligue 1","Ligue 1","Prince Oniangué",37,26,-11,-6,25,18,-18,10,28,37,0,0,0,34,5,-4,22
"2147","Chievo","Benevento","Serie A","Serie A","Përparim Hetemaj",-1.5,-13,0,0,-6.5,-0.5,9,-8,-13.5,-7,-5,-7,-2.5,-1.5,-8,-10.5,1.5
"2148","Toulouse","Lorient","Ligue 1","Ligue 1","Quentin Boisgard",5.16666666666666,23,0,0,4,-10.8333333333333,0,15.1666666666667,12,0.833333333333336,0,0,0,2,-8.33333333333333,-4.66666666666666,8.33333333333334
"2149","Nîmes","Angers","Ligue 1","Ligue 1","Rachid Alioui",10,0,0,0,29,38,0,-4,-26,0,0,0,0,0,0,-1,4
"2150","Monaco","Leicester City","Ligue 1","Premier League","Rachid Ghezzal",-9,12,-11,0,-16,-25,-44,-3,-10,-45,0,0,0,-12,3,-32,56
"2151","Leicester City","Fiorentina","Premier League","Serie A","Rachid Ghezzal",3,17,0,0,20,21,18,-7,10,29,10,0,0,2,-3,3,-11
"2152","Monaco","Rayo Vallecano","Ligue 1","La Liga","Radamel Falcao",-48,-10.5,0,0,-39.5,-36.5,2,-20,-15.5,-26,-5,-7,-2.5,-41,-20.5,-24.5,6
"2153","Empoli","Milan","Serie A","Serie A","Rade Krunić",-47.25,-22,-11,0,-44.25,-28.75,11.25,-28.75,-18.5,-14.75,0,3.5,0,-34,-33,-40.25,12.5
"2154","Roma","Inter","Serie A","Serie A","Radja Nainggolan",-17,-26,-12,-6,-9,-17,-6,-11,-20,-10,0,0,0,-24,-3,15,-28
"2155","Inter","Cagliari","Serie A","Serie A","Radja Nainggolan",0,17,0,0,-18,-2.5,-27,10,13,-6.5,0,0,0,11,-0.5,-13.5,18.5
"2156","Salernitana","Sampdoria","Serie A","Serie A","Radu Drăgușin",4,0,0,0,9,3,18,22,-6,-4,0,0,0,14,18,0,28
"2157","Huesca","Sevilla","La Liga","La Liga","Rafa Mir",-36,10,0,0,-25,-11.5,-2,-18,-38.5,-22.5,-10,0,0,-19,-13.5,-12.5,7.5
"2158","Cagliari","Lyon","Serie A","Ligue 1","Rafael",17.6666666666667,48.3333333333333,3.66666666666667,0,62,58.3333333333333,18,59,52.6666666666667,62.3333333333333,0,0,3.33333333333333,48.1666666666667,46.3333333333333,42.5,-27.1666666666667
"2159","Lyon","Spezia","Ligue 1","Serie A","Rafael",-32.6666666666667,-57.3333333333333,-3.66666666666667,0,-62,-58.3333333333333,-18,-59,-56.6666666666667,-62.3333333333333,0,0,-3.33333333333333,-54.6666666666667,-46.3333333333333,-46,34.6666666666667
"2160","Lille","Milan","Ligue 1","Serie A","Rafael Leão",22.25,2.25,2.75,1.5,-6,12,9.75,27.25,5.75,13.75,0.5,0,0,27.5,1.5,-9.5,17.5
"2161","Union Berlin","Augsburg","Bundesliga","Bundesliga","Rafał Gikiewicz",-6.66666666666667,29.3333333333333,0,0,-10,-6,0,0,-1.33333333333333,3.66666666666667,0,-17,0,7,-4.33333333333334,4.66666666666667,-4.33333333333333
"2162","Inter","Bayern Munich","Serie A","Bundesliga","Rafinha",9.5,18,0,0,3,-20.5,-9,9.5,33,18.5,-10,0,0,8.5,6.5,6,2
"2163","Bayern Munich","Barcelona","Bundesliga","La Liga","Rafinha",-38.5,-27,0,0,-24.5,-14,-9,-27,-57,-36,0,0,0,-48.5,-35,-29.5,-1.5
"2164","Barcelona","Celta Vigo","La Liga","La Liga","Rafinha",60,52,0,0,61.5,53.5,27,25.5,65,62.5,0,0,0,79,58.5,49.5,17.5
"2165","Celta Vigo","Paris S-G","La Liga","Ligue 1","Rafinha",-41,-45,0,0,-42,-39,-18,-24.5,-38.5,-29,5,0,0,-48.5,-51.5,-41.5,-39.5
"2166","Paris S-G","Real Sociedad","Ligue 1","La Liga","Rafinha",10,28,0,0,20,29,-9,20.5,9.5,20,-5,0,0,18.5,31.5,22.5,28.5
"2167","Liverpool","Cagliari","Premier League","Serie A","Ragnar Klavan",-0.333333333333336,34.6666666666667,0,0,14.3333333333333,-26.3333333333333,0,-0.333333333333332,-3.33333333333334,2,0,4.66666666666667,1.66666666666667,-13.3333333333333,-14,-21.6666666666667,5.66666666666666
"2168","Manchester City","Chelsea","Premier League","Premier League","Raheem Sterling",-16.6,7.8,-2.40000000000001,-1.2,-17.2,-7.40000000000001,-0.799999999999997,2.40000000000001,-33.2,-7.6,-12.4,-2.8,0,-16,-16.4,-21.4,-3.4
"2169","Stoke City","Huddersfield","Premier League","Premier League","Ramadan Sobhi",-42,-32,0,0,-42,-40,-33,-26,-40,-57,0,0,0,-52,-25,-38,55
"2170","Benevento","Frosinone","Serie A","Serie A","Raman Chibsah",44,7,0,0,29,35,42,29,50,25,0,0,0,44,28,35,2
"2171","Everton","Villarreal","Premier League","La Liga","Ramiro Funes Mori",38.6666666666667,19.6666666666667,0,0,28.3333333333333,22.6666666666667,9,11.6666666666667,25.6666666666667,39.6666666666667,0,0,1.66666666666667,43.3333333333333,31.3333333333333,24.3333333333333,-3
"2172","Rennes","M'Gladbach","Ligue 1","Bundesliga","Ramy Bensebaini",-8.5,-0.5,5.5,3,-5.75,-2.5,3.5,-12.75,0.25,-18.75,2.5,-4.75,-3.75,-1,-3.5,-3.75,-1.75
"2173","Girona","Villarreal","La Liga","La Liga","Ramón Terrats",22,18,0,0,29,42,0,31,16,28,0,0,0,26,28,0,41
"2174","Nantes","Eint Frankfurt","Ligue 1","Bundesliga","Randal Kolo Muani",20.6666666666667,34.6666666666667,11,6,19.3333333333333,28.3333333333333,17,15.6666666666667,-2.33333333333334,6.33333333333334,5.33333333333333,-4.66666666666667,0,15,22.3333333333333,26.6666666666667,-7.66666666666666
"2175","Rayo Vallecano","Elche","La Liga","La Liga","Randy Ntekja",-2,2,-5.5,0,2,5.5,16.5,-17,-1.5,7,-6,0,0,1.5,-4.5,16.5,-37
"2176","Augsburg","Union Berlin","Bundesliga","Bundesliga","Rani Khedira",11.75,1.25,0,0,10,-6,-9,12.5,1.75,8.25,0,-3.5,0,19.75,-4,-5.5,0.75
"2177","Bordeaux","Cagliari","Ligue 1","Serie A","Raoul Bellanova",79,44,0,0,26,74,27,75,60,46,0,14,0,74,51,51,23
"2178","Cagliari","Inter","Serie A","Serie A","Raoul Bellanova",-60,-44,0,0,-16,-44,0,-19,-37,-26,0,-14,0,-52,-34,-48,29
"2179","Real Madrid","Manchester Utd","La Liga","Premier League","Raphaël Varane",-20.75,-18,-2.75,0,-21,-19.75,4.5,-4.5,-25,-7.75,0,-4.25,1.25,-22.25,-6.75,-18.5,2.25
"2180","Rennes","Leeds United","Ligue 1","Premier League","Raphinha",45,30,0,0,24,20.5,33.5,20,33.5,31,5,7,0,39,13,32.5,-11.5
"2181","Leeds United","Barcelona","Premier League","La Liga","Raphinha",-16,15,0,0,-4,-1,0,0,-22,-5.5,-5,-7,0,-14,-2.5,-43.5,49.5
"2182","Angers","Wolves","Ligue 1","Premier League","Rayan Aït Nouri",32,21.3333333333333,0,0,25.6666666666667,32,28,36,23.6666666666667,36.6666666666667,3.33333333333333,4.66666666666666,1.66666666666667,36.3333333333333,22,32.3333333333333,4
"2183","Napoli","Villarreal","Serie A","La Liga","Raúl Albiol",11.5,8.5,0,0,2.5,9.25,9,-0.25,-3.25,10.25,0,-2.75,0,0,-3.5,-5.75,-2
"2184","Leganés","Girona","La Liga","La Liga","Raúl García",-1,0,0,0,11,-3.5,18,15.5,-1,-3,0,0,0,0.5,10.5,22,-23.5
"2185","Girona","Getafe","La Liga","La Liga","Raúl García",-20,-18,0,0,-22,-16,-18,-12,-19,-29,0,0,0,-24,-30,-33,23
"2186","Getafe","Athletic Club","La Liga","La Liga","Raúl García",55.5,66.3333333333333,2,1,69.6666666666667,61.8333333333333,48.8333333333333,-3.83333333333333,29,50,5.66666666666667,0,0,36.6666666666667,69.1666666666667,75.5,-4.16666666666667
"2187","Athletic Club","Valladolid","La Liga","La Liga","Raúl García",-38,-34.3333333333333,-2,-1,-61.1666666666667,-50.3333333333333,-30.8333333333333,11.3333333333333,-15.5,-27,-5.66666666666667,0,0,-22.1666666666667,-36.6666666666667,-45.5,-5.83333333333333
"2188","Real Sociedad","Osasuna","La Liga","La Liga","Raúl Navas",-36,-38,0,0,-16,-26.5,-9,-14.5,-27.5,-31,0,0,0,-46.5,-54.5,-20,-65
"2189","Espanyol","Rayo Vallecano","La Liga","La Liga","Raúl de Tomás",-6,-19,-6,-3,4.5,-7.5,3,-8.5,-15.5,-22.5,-10,-7,0,-5,-8.5,-7.5,-7.5
"2190","Málaga","Leganés","La Liga","La Liga","Recio",-11.5,-1,-11,-6,2,-6.5,-9,-28,-16.5,-22.5,0,0,0,-15.5,-15.5,-16.5,-6
"2191","Leganés","Eibar","La Liga","La Liga","Recio",-21.5,-14,0,0,-35,-18.5,-9,22,-31.5,-38.5,0,0,0,-34.5,-7.5,1.5,-15
"2192","M'Gladbach","Augsburg","Bundesliga","Bundesliga","Reece Oxford",15,3.2,2.2,0,-3,7.6,3.6,-19.2,8.6,7.8,0,9,0,12.6,5.6,10,6
"2193","Dortmund","Girona","Bundesliga","La Liga","Reinier",15,18,11,0,4.5,33.5,18,6.5,19,21,0,0,0,10,10,20.5,-17.5
"2194","Lille","Atlético Madrid","Ligue 1","La Liga","Reinildo Mandava",11.75,18.5,-2.75,0,12.25,11.5,-15.75,-7,9.75,20.75,0,3.5,-1.25,16,10.75,25,-24.75
"2195","Hoffenheim","Arsenal","Bundesliga","Premier League","Reiss Nelson",-12,6,0,0,-9,-1.66666666666667,-14.6666666666667,-6.66666666666666,-13.3333333333333,-20.6666666666667,0,0,0,-20.6666666666667,-0.666666666666666,-6.33333333333333,32.6666666666667
"2196","Reims","Bordeaux","Ligue 1","Ligue 1","Remi Oudin",-12.3333333333333,-3.33333333333334,0,0,-17.3333333333333,7.33333333333334,-6.33333333333333,2,-4.5,-8,0,0,0,-7.16666666666667,-9.66666666666666,-14.5,8.33333333333334
"2197","Bordeaux","Lecce","Ligue 1","Serie A","Remi Oudin",-8.66666666666666,11.3333333333333,0,0,-10.6666666666667,-3.33333333333334,-9.66666666666667,10,6,1,0,0,0,-1.33333333333333,-10.3333333333333,-19,4.66666666666666
"2198","Atalanta","Nott'ham Forest","Serie A","Premier League","Remo Freuler",-13,-3.59999999999999,-2.2,0,-19.8,-37,-7.2,-27,-3.59999999999999,-15.8,-2,-2.8,-1,-13,5.40000000000001,-12.4,28.4
"2199","Atlético Madrid","Nott'ham Forest","La Liga","Premier League","Renan Lodi",19,15.3333333333333,-3.66666666666667,-2,6.33333333333333,10.6666666666667,-9,1.66666666666667,14.6666666666667,16.6666666666667,0,-4.66666666666667,0,21.6666666666667,-2.33333333333334,-6.33333333333334,3.33333333333334
"2200","Swansea City","Bayern Munich","Premier League","Bundesliga","Renato Sanches",-4,14,11,6,5,-17,18,-8,-9,-7,0,0,0,-10,0,-9,3
"2201","Bayern Munich","Lille","Bundesliga","Ligue 1","Renato Sanches",27.6666666666667,24.6666666666667,-7.33333333333333,-4,41.3333333333333,28,6,20.6666666666667,25,14.3333333333333,0,0,0,41.6666666666667,21.3333333333333,17.6666666666667,18.3333333333333
