"","Squad_1","Squad_2","Comp_1","Comp_2","Player","Mins_Per_90","CrdY","CrdR","X2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial"
"531","Eibar","Athletic Club","La Liga","La Liga","Dani García",-14,-4,0,0,-4,-2.8,3.6,-14,-13.8,-16.6,0,-7.8,0,-13,-2.40000000000001,5.59999999999999,-10.4
"532","Levante","Espanyol","La Liga","La Liga","Dani Gómez",-44,1,0,0,-50,-60.5,-11.5,-21,-8.5,-12,-10,0,0,-27,-25.5,-74.5,92
"533","Genoa","Hellas Verona","Serie A","Serie A","Daniel Bessa",-14.3333333333333,10.6666666666667,3.66666666666667,2,-3.83333333333333,2,14.8333333333333,-4,-8.66666666666666,-18.3333333333333,-1.66666666666667,0,0,-7.16666666666666,-18.6666666666667,-4,-0.333333333333332
"534","Schalke 04","Augsburg","Bundesliga","Bundesliga","Daniel Caligiuri",-28.3333333333333,-18.6666666666667,0,0,-15.6666666666667,-18.6666666666667,5,-15.3333333333333,-27.6666666666667,-24,0,-4.66666666666667,0,-21.6666666666667,-21.6666666666667,-18,-12
"535","Frosinone","Cremonese","Serie A","Serie A","Daniel Ciofani",-18,0,0,0,-39,-11,-2,-5,-5,-10,0,0,0,-14,-19,-4,-32
"536","Wolfsburg","Stuttgart","Bundesliga","Bundesliga","Daniel Didavi",-44.6666666666667,-37.3333333333333,0,0,-49.6666666666667,-36.6666666666667,-8.66666666666667,-20.6666666666667,-15.3333333333333,-30.3333333333333,-10,0,0,-29,-20.6666666666667,-46,35.6666666666667
"537","Stuttgart","Wolfsburg","Bundesliga","Bundesliga","Daniel Ginczek",-24.3333333333333,-15.3333333333333,0,0,-48.6666666666667,-27.6666666666667,-13.3333333333333,-1,-14.3333333333333,-1,0,0,0,-9.33333333333333,-23.6666666666667,-33.6666666666667,15.3333333333333
"538","Manchester Utd","Leeds United","Premier League","Premier League","Daniel James",5.16666666666666,2.33333333333334,5.5,0,12,8.5,-5.33333333333333,-1.33333333333333,13.8333333333333,3,1.66666666666667,0,0,-1.66666666666666,2.83333333333333,14.1666666666667,-20
"539","Leeds United","Fulham","Premier League","Premier League","Daniel James",-18.5,-35,-5.5,0,-32,-5.5,2,4,-16.5,-7,5,0,0,-2,-16.5,-10.5,-2
"540","Milan","Spezia","Serie A","Serie A","Daniel Maldini",18,0,0,0,24,52,-18,40,0,7,0,0,0,23,27,28,7
"541","Valencia","Villarreal","La Liga","La Liga","Daniel Parejo",-0.666666666666657,-13.3333333333333,-11,-2,-8,0,-20,-2,1.33333333333334,-4.33333333333334,-3.33333333333333,0,0,-2.33333333333334,-1.66666666666667,4.33333333333334,-9.33333333333333
"542","Crotone","Sampdoria","Serie A","Serie A","Daniel Pavlović",-25,0,0,0,-24,-6,0,-42,-26,-17,0,-14,0,-26,-19,-24,43
"543","West Brom","Liverpool","Premier League","Premier League","Daniel Sturridge",15,9,0,0,12.5,31.5,14,2.5,4,8,0,0,0,10.5,9.5,17.5,7.5
"544","Celta Vigo","Valencia","La Liga","La Liga","Daniel Wass",-12.75,21.5,0,0,7,-13.75,-21,-11,-2.5,3,2.5,0,1.25,-10.75,-2.25,-9.75,13
"545","Valencia","Atlético Madrid","La Liga","La Liga","Daniel Wass",-77.25,-47.5,0,0,-68,-68.25,-9,-55,-68.5,-66,-2.5,0,-1.25,-71.25,-78.75,-63.25,-57
"546","Torino","Cagliari","Serie A","Serie A","Daniele Baselli",-31.6,-24.8,-2.40000000000001,-1.2,-43.8,-38.4,-13.8,-6.59999999999999,-40,-32.4,0,-2.8,0,-35.4,-31.6,-30.4,-7.4
"547","Cagliari","Brescia","Serie A","Serie A","Daniele Dessena",43,39,11,6,41,16,0,15,18,17,12,14,0,37,33,43,-12
"548","Inter","Udinese","Serie A","Serie A","Daniele Padelli",0,0,-11,0,0,-16,0,0,0,0,0,0,0,4,0,0,0
"549","Juventus","Cagliari","Serie A","Serie A","Daniele Rugani",-2.2,1.6,0,0,0.200000000000003,3.2,-7.2,22.4,4.8,18.6,0,-6.2,0,3,8.59999999999999,-1.6,12.2
"550","Cagliari","Rennes","Serie A","Ligue 1","Daniele Rugani",-33,-14,0,0,-34,-9,0,-25,-42,-42,0,0,0,-36,-49,-31,-7
"551","Hellas Verona","Valladolid","Serie A","La Liga","Daniele Verde",-40,18,0,0,3,-3,1,-6,-39,-20,0,0,0,-36,7,0,3
"552","Valladolid","Spezia","La Liga","Serie A","Daniele Verde",25.5,7,0,0,-1.5,10,-4,4,13,4,0,0,0,25,-3.5,-13.5,44.5
"553","Manchester City","Juventus","Premier League","Serie A","Danilo",34.75,36.75,2.75,1.5,29,15.75,13.5,5.25,23,9.75,0,7.75,0,29,17,25.75,-5.5
"554","Juventus","Nott'ham Forest","Serie A","Premier League","Danilo",-38.25,-43.75,-2.75,-1.5,-47.5,-35.75,13.5,-32.25,-38.5,-44.25,0,-7.75,0,-31.5,-50.5,-16.25,-62.5
"555","Benevento","Lazio","Serie A","Serie A","Danilo Cataldi",-36.2,-22.4,-12,-6,-48,-39.4,3.6,-7,-30.2,-31.8,0,5.59999999999999,0,-29.2,3,-11,20.6
"556","Udinese","Bologna","Serie A","Serie A","Danilo Larangeira",3.33333333333333,-4.66666666666667,3.66666666666667,2,17.3333333333333,12.3333333333333,3.66666666666667,8.66666666666666,-6,2,0,5.66666666666667,-5,3.33333333333333,2.66666666666667,0.333333333333329,6.66666666666667
"557","Eint Frankfurt","Bochum","Bundesliga","Bundesliga","Danny Blum",16,0,0,0,0,16,0,56,6,6,0,0,0,21,49,23,63
"558","Chelsea","Aston Villa","Premier League","Premier League","Danny Drinkwater",-10,18,0,0,-8,-14,0,-6,-9,-23,0,0,0,-5,0,3,0
"559","Aston Villa","Burnley","Premier League","Premier League","Danny Drinkwater",-11,-18,0,0,-18,-6,0,-7,-18,-10,0,0,0,-20,0,-10,0
"560","Liverpool","Southampton","Premier League","Premier League","Danny Ings",59,26.6666666666667,0,0,38.6666666666667,48,14.6666666666667,30,13.6666666666667,39.3333333333333,8.33333333333333,4.66666666666667,0,51.6666666666667,46,61,-5.66666666666667
"561","Southampton","Aston Villa","Premier League","Premier League","Danny Ings",-24,22.3333333333333,0,0,-23.6666666666667,-30.5,-0.666666666666671,-17,-9.16666666666666,-16.8333333333333,-8.33333333333333,-4.66666666666667,0,-31.6666666666667,-7,-33,39.1666666666667
"562","Aston Villa","West Ham","Premier League","Premier League","Danny Ings",-18,-31,0,0,-10,2.5,-7,-31,0.5,-5.5,0,0,0,-4,-23,4,-38.5
"563","Mainz 05","Schalke 04","Bundesliga","Bundesliga","Danny Latza",-29.25,-34.5,0,0,-39,-34.25,-15.75,1,-35.5,-23.5,-5,0,0,-27,-23.5,-18.5,-18
"564","Tottenham","Newcastle Utd","Premier League","Premier League","Danny Rose",-9,-26.6666666666667,0,0,-13.6666666666667,-4,-6,-34.6666666666667,-5.66666666666666,-8.66666666666667,-3.33333333333333,0,0,-7,-5.66666666666666,4.66666666666666,-27.6666666666667
"565","Newcastle Utd","Watford","Premier League","Premier League","Danny Rose",-6,22,0,0,-3,-17,18,19,8,-6,0,14,0,-6,-19,-10,-21
"566","Cardiff City","Leicester City","Premier League","Premier League","Danny Ward",57,0,0,0,-10,-4,-33,-13,0,0,0,0,0,13,-54,-77,56
"567","Arsenal","Watford","Premier League","Premier League","Danny Welbeck",6.5,-9,0,0,3.5,3,8.5,0.5,1,-3,10,0,0,2.5,21,4.5,31
"568","Watford","Brighton","Premier League","Premier League","Danny Welbeck",24.3333333333333,0,0,0,26.6666666666667,14.3333333333333,12,1.33333333333333,2,2.66666666666666,0.666666666666671,0,0,4,3,15.6666666666667,-16.3333333333333
"569","Eint Frankfurt","Mainz 05","Bundesliga","Bundesliga","Danny da Costa",0.899999999999999,2.4,0,0,-11.8,-5.6,10.1,8.5,3.8,7,0,-2.8,0,7.6,-1.3,-20.2,29.4
"570","Leganés","Alavés","La Liga","La Liga","Darko Brašanac",11,17,0,0,25,-10,-33,6,-2,-2,0,0,0,10,13,15,7
"571","Alavés","Osasuna","La Liga","La Liga","Darko Brašanac",1,3.75,0,0,-5.25,1.5,33.5,-1,3.75,1.75,2.5,3.5,0,-11.5,-3.25,-0.75,-10.25
"572","Genoa","Hellas Verona","Serie A","Serie A","Darko Lazović",20.25,0.5,0,0,-2,-14.75,34.75,1.25,5.5,5.5,0,-3.5,0,22.5,9,8.25,6.25
"573","Udinese","Granada","Serie A","La Liga","Darwin Machís",42.6666666666667,5,0,0,48.6666666666667,38,46.3333333333333,24.3333333333333,47,24,0,0,0,44,28.3333333333333,39.6666666666667,5.33333333333333
"574","Granada","Valladolid","La Liga","La Liga","Darwin Machís",-40.6666666666667,-19,0,0,-42.6666666666667,-49,-19.3333333333333,-18.3333333333333,-42,-39,0,0,0,-43,-37.3333333333333,-46.6666666666667,-10.3333333333333
"575","Marseille","Elche","Ligue 1","La Liga","Darío Benedetto",-18,-14.6666666666667,-4,-2,-27,-17.6666666666667,2.66666666666667,6.33333333333334,-4.66666666666667,-12.6666666666667,-3.33333333333333,0,0,-8.66666666666667,-13.3333333333333,-18.6666666666667,-12
"576","Villarreal","Atlético Madrid","La Liga","La Liga","Darío Poveda",1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,-7,95
"577","Atlético Madrid","Getafe","La Liga","La Liga","Darío Poveda",10,0,0,0,9.5,5.5,13.5,12.5,4,0,0,0,0,7,11,24,-34.5
"578","Bayern Munich","Real Madrid","Bundesliga","La Liga","David Alaba",-1.75,6.5,0,0,-0.5,-12.75,-7.75,-10,-11,-13.25,0,7,0,-9.75,-12.75,-13.25,0.5
"579","Brighton","West Brom","Premier League","Premier League","David Button",-12,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0
"580","Las Palmas","Osasuna","La Liga","La Liga","David García",56.25,39.5,2.75,0,54,8.25,4.5,-11.25,26,16.25,0,10.5,1.25,49.75,44.75,52.75,13
"581","Eibar","Celta Vigo","La Liga","La Liga","David Juncà",2,-2,0,0,1,16.5,18,-15.5,2.5,2.5,0,8.5,0,-7,17,2.5,32.5
"582","Chelsea","Arsenal","Premier League","Premier League","David Luiz",5,-9.5,6,0,1,-26.5,18,15,-7,-14.5,0,16,0,-8.5,7.5,-8.5,21.5
"583","Espanyol","Girona","La Liga","La Liga","David López",-11.25,10.25,-2.75,-1.5,-14.75,-6.25,21.75,-17.5,-21.5,-7.25,-2.5,-7.75,-1.25,-8,-13,-3.25,-22.75
"584","Venezia","Cremonese","Serie A","Serie A","David Okereke",5,-7,-11,0,-20,1,0,-3,-2,-6,3,14,0,-8,8,4,0
"585","Arsenal","Napoli","Premier League","Serie A","David Ospina",43.25,12.5,0,0,3,7,0,0,2,0,0,7,0,14.25,18,4.5,-3.75
"586","Hoffenheim","RB Leipzig","Bundesliga","Bundesliga","David Raum",-28,0,0,0,-11,-28,-17,-3,-16,-5,0,17,-5,-21,-15,-39,28
"587","Manchester City","Real Sociedad","Premier League","La Liga","David Silva",-15.3333333333333,19.6666666666667,3.66666666666667,0,6.33333333333334,0,-8.66666666666667,-16.6666666666667,-11.3333333333333,-2,4,9.33333333333333,0,-3.66666666666667,-1.66666666666666,-2,0.666666666666664
"588","Sevilla","Getafe","La Liga","La Liga","David Soria",47.4,12,0,0,4.4,6.6,0,0,-5.4,3.4,0,5.59999999999999,1,16.4,10.4,-0.6,2.2
"589","Girona","Getafe","La Liga","La Liga","David Timor",11.8333333333333,13,3.66666666666667,0,16.8333333333333,13.8333333333333,0,37.3333333333333,1.5,-2.33333333333334,0,0,1.66666666666667,7.5,16.1666666666667,27.8333333333333,-22.1666666666667
"590","Crotone","Hellas Verona","Serie A","Serie A","Davide Faraoni",18.5,26,2.75,1.5,19,0.25,39,3.5,-17,-6,0,-7,0,-0.75,14.5,16.75,3.5
"591","Inter","Roma","Serie A","Serie A","Davide Santon",-3,0.666666666666664,0,0,8,-4,12,0.333333333333336,-19.6666666666667,-26.3333333333333,0,-14,0,-11.3333333333333,-36.6666666666667,-12.6666666666667,-22
"592","Torino","Chelsea","Serie A","Premier League","Davide Zappacosta",18,0,0,0,17,22.5,-7,6,10,21,0,0,0,21.5,26,2.5,68
