"","Player","Squad","Comp","Season_End_Year","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty"
"163","Steve Mandanda","Marseille","Ligue 1",2019.5,67.25,67.25,65.25,65.25,59.5,29.5,54.75,54.5,51.25,85.75,76.25,46.5,79.5,69.25,69.5,74.75,70,84.25,60.25
"164","Thibaut Courtois","Chelsea","Premier League",2017.5,82.5,82.5,82.5,83,48,8.5,49.5,52.5,58.5,97,45.5,42.5,97.5,92.5,35,48,54,80,54
"165","Tom Heaton","Burnley","Premier League",2018,59,59,59,59,60.5,47.5,68,70,62,61,54,69,61.5,50.5,47,53,70,80,60.5
"166","Tomáš Koubek","Rennes","Ligue 1",2018.5,73,71,71,71,69,36.5,68.5,68.5,50,75.5,84,65,79,63,69.5,56.5,91,88.5,84.5
"167","Vicente Guaita","Getafe","La Liga",2017,85,85,85,85,68,41,74.5,78,58.5,68.5,83,82.5,80.5,61,74.5,63,91,97,81
"168","Vid Belec","Benevento","Serie A",2018,27,27,25,25,40,92,34,35,33,21,8,67,19,12,50,65,54,80,54
"169","Vid Belec","Sampdoria","Serie A",2018,5,6,5,5,9,96,7,9,69,7,8,16,10,10,19,28,54,80,54
"170","Vito Mannone","Sunderland","Premier League",2017,20,21,21,21,27,90,28,29,55,16,23,40,27,43,35,48,54,80,54
"171","Vito Mannone","Monaco","Ligue 1",2021,20,21,21,21,21,64,18,16,16,38,17,22,27,43,35,48,54,80,54
"172","Wladimiro Falcone","Sampdoria","Serie A",2021,13.5,13.5,13,13,15,75.5,15.5,18.5,62,14,17,25,18.5,26.5,19,28,54,80,54
"173","Wojciech Szczęsny","Roma","Serie A",2017,100,100,100,100,60,16,83,91,84,100,32,46,95,84,64,48,96,80,95
"174","Yann Sommer","M'Gladbach","Bundesliga",2020,63,63.1428571428571,62.4285714285714,62.4285714285714,69.1428571428571,51.5714285714286,74.2857142857143,75.7142857142857,62.8571428571429,73.4285714285714,67.8571428571429,60.2857142857143,62.2857142857143,50.1428571428571,59.5714285714286,64.7142857142857,64.5714285714286,82.4285714285714,64.4285714285714
"175","Yassine Bounou","Girona","La Liga",2018.5,62,62.5,60.5,60.5,74.5,54,81.5,83.5,67,65,73.5,74.5,73,60.5,79,84.5,54,88.5,54
"176","Yoel","Rayo Vallecano","La Liga",2016,20,21,21,21,34,97,24,20,4,16,23,40,10,10,35,48,54,80,54
"177","Yoel","Eibar","La Liga",2018.5,29,27,26,26,29.5,58,28.5,31,46.5,36.5,33.5,30,41,63,34.5,25.5,86,80,91.5
"178","Yvon Mvogo","RB Leipzig","Bundesliga",2019,5,2,2,2,2,42,1,1,79,7,8,10,19,100,19,28,54,80,54
"179","Álvaro Fernández","Huesca","La Liga",2021,43,43,43,43,50,53,45,46,37,38,51,73,50,44,35,48,54,80,54
"180","Łukasz Fabiański","Swansea City","Premier League",2017.5,96,96,96,96,95,68,95,90,38.5,61,67,99,73,44.5,88,78,92.5,88.5,77
"181","Łukasz Skorupski","Empoli","Serie A",2017,80,80,80,80,91,67,98,99,75,52,75,96,82,62,96,85,99,97,84
